baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZL6,1.832106786878,-3.41036330418248,1.26858069376872,-2.6883298168845,0.00718104295781374,NA
MAFIP,15.9117458994346,-1.06865819086244,0.345030363997371,-3.09728737633823,0.00195300443402627,0.681756064929876
MAIP1,11.3046238658802,-0.79207258462362,0.315727049626607,-2.50872576664039,0.0121167510899256,0.999483955276918
MALINC1,6.4856829221872,-1.29263305480609,0.539581188440716,-2.39562290624244,0.0165921504846661,NA
MAP1A,12.7794165589378,-1.13570361051498,0.431188679982443,-2.63389013496648,0.00844127968481083,0.999483955276918
MAP3K5-AS1,2.0662865094012,-2.07628846121742,0.793122029542878,-2.61786759650858,0.00884811296086814,NA
MCCC2,29.8491899581238,-0.651341234823432,0.277103478306156,-2.3505343159345,0.0187464789895481,0.999483955276918
MESP2,1.76876123565972,-2.99401781926701,1.22808535948635,-2.43795579528712,0.0147705801109523,NA
METTL3,18.3203888557071,0.701311391394978,0.296458528085296,2.36563068677586,0.0179993894350787,0.999483955276918
MFSD4B,25.5238629477276,-0.737906045467256,0.302480394067914,-2.43951694039905,0.0147069131035702,0.999483955276918
MMS22L,44.2599837112342,-0.68766329868341,0.238372423995259,-2.88482739386451,0.00391628315877365,0.832134858101731
MPG,11.4177519056599,1.04855344012806,0.401884133662045,2.60909389622685,0.00907823285750148,0.999483955276918
MPIG6B,2.84718369704508,-2.6545590137926,0.936214885538716,-2.83541637160053,0.00457659953942008,NA
MRPS36,11.2008977825538,1.06436242995131,0.366213589516059,2.90639796124943,0.00365616123491564,0.820881364442256
MS4A12,1.5355460414887,-2.68184095150662,1.06714164367213,-2.51310682832895,0.0119673090041181,NA
MTRNR2L1,123.370289856692,1.78319127363507,0.708033133314964,2.51851387983255,0.0117851238527444,0.999483955276918
MYBL1,28.8434640331493,-0.766634225992826,0.27945581794144,-2.74331102368917,0.006082304577409,0.999483955276918
NAB2,5.44053903608588,-1.28020174959403,0.490855095399696,-2.60810524652206,0.00910449564726443,NA
NAGLU,5.56336754055594,-1.81941963906816,0.534602012640419,-3.40331610440818,0.000665732109251465,NA
NCAPG2,19.0737798530649,-1.00646553530056,0.408907323165666,-2.4613536571288,0.0138413852242506,0.999483955276918
NCOA6,42.2998837909423,-0.529668716380113,0.217095115120923,-2.43980025107928,0.0146953850242707,0.999483955276918
NCS1,3.64160310971914,-2.77840942115912,1.12125389449777,-2.47794851352879,0.0132140211794691,NA
NDUFAF2,4.41402623767701,1.61407351243958,0.548795269006876,2.94112140463688,0.00327026334175846,NA
NECAP1,25.0071463624818,0.630828857860136,0.257753099382641,2.44741521778426,0.0143884972355679,0.999483955276918
NEK5,22.1684297371939,-0.889452581968685,0.357424263342128,-2.48850644232089,0.012828091301266,0.999483955276918
NPAS4,2.09325508905877,-2.12029275761418,0.899970764325536,-2.35595737290776,0.0184750376220486,NA
NSF,45.4765075154681,-0.825320271415894,0.228479503394866,-3.61222892711539,0.000303576379883282,0.257625079541848
OLFM1,3.47403940369243,-3.12038881465966,0.995533289895874,-3.13438922267083,0.00172212263122553,NA
OPA1-AS1,1.57378134407658,-2.85417160775026,1.01360932022883,-2.81584980602378,0.00486484039355501,NA
OR2Z1,3.45653568483761,-2.3571748631163,0.853655840946892,-2.7612707019045,0.00575769312398826,NA
OSBPL5,2.46994526752709,-1.87372527596213,0.74549654051789,-2.51339231522183,0.0119576277342338,NA
OSGEP,11.8832619587274,0.872720560860084,0.373322606570204,2.33771152751225,0.0194022177757607,0.999483955276918
PAX5,5.46534245957841,-1.66988350805235,0.690567987308249,-2.41813049365545,0.0156004810312094,NA
PCBP3,2.62246862436027,-2.42120816752074,0.818303700082028,-2.95881366206463,0.00308825777645203,NA
PHLDB3,5.84682976565024,1.33672572938123,0.478872744008087,2.79140073455226,0.0052480452395865,NA
PJVK,5.35424017773584,-1.69498907074046,0.543490002731083,-3.1187125103001,0.00181643100122065,NA
PLAGL2,29.7867721556165,-0.524527925457825,0.221634515986409,-2.36663465130129,0.0179506431542846,0.999483955276918
PLVAP,2.51047916933636,-2.34453442055702,0.99717134373068,-2.35118511507311,0.0187137212558389,NA
PMS2,25.7210124731702,-0.737284296385001,0.282926413244895,-2.6059224655947,0.00916272002758272,0.999483955276918
POU5F1P5,5.235451126259,-1.73492887284876,0.709431881113899,-2.44551861712882,0.0144643980670618,NA
PPARA,23.6433584091223,-0.922374521972821,0.375806118883738,-2.45438931306537,0.0141124103203381,0.999483955276918
PPOX,7.02508551379167,1.11908957732012,0.41724122043575,2.68211653717097,0.00731579697904615,NA
PPP2R2A,29.5032279525043,-0.510704666022134,0.215874675548902,-2.36574607338064,0.0179937810872859,0.999483955276918
PRRG3,410.121193014896,-1.77841547351085,0.351670585594564,-5.05704925677566,4.25793289461315e-07,0.00470459005525807
PRSS16,3.25181243020764,-2.2070809366698,0.866708505068403,-2.54650891708466,0.0108806431622247,NA
