gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
DDR1	DDR1	3	2	1	2	3	12	5	0	0	2	5	6	3	5	0	0	0	0
DDR2	DDR2	52	37	32	50	55	5	67	12	2	24	14	29	49	18	1	6	32	33
DDRGK1	DDRGK1	21	19	44	26	18	85	41	11	6	5	10	11	14	8	1	46	7	20
DDT	DDT	25.608	16.832	38.069	15.125	13.016	44.669	34.869	2	2	6.834	2.675	11.133	17.962	14.885	13.408	87.244	2.828	14.471
DDTL	DDTL	7.187	3.168	9.747	7.856	12.984	24.331	11.424	0	0	2.148	2.325	5.867	2.038	1.115	1.592	1.75	4.172	2.529
DDX1	DDX1	36	22	76	32	42	99	66	16	5	4	14	27	29	25	13	66	11	25
DDX10	DDX10	29	18	46	44	54	72	46	9	0	14	7	13	25	13	0	40	11	25
DDX11	DDX11	22.726	15.418	41.774	11.612	24.636	45.445	44.451	8	2.112	7.902	14.569	27.59	17.555	9.575	10.934	3.674	5.912	2.975
DDX11-AS1	DDX11-AS1	4	2	2	7	1	2	4	0	0	3	3	3	2	0	0	2	1	3
DDX11L1	DDX11L1	3.73	0	0	0	0	0	0	0	0	2.732	0	2.626	0	0	0	0	0	0
DDX11L10	DDX11L10	0	0	0	0	1.61	6.242	0	0	0	0	0	0	1.766	3.499	0	0	1.714	0
DDX11L16	DDX11L16	3.093	4.469	0	0	0	0	1.614	0	0	1.268	0	0	0	5.933	0	0	0	0
DDX11L2	DDX11L2	0	1.436	3.857	4.02	8.905	12.759	6.827	0	9	1	0	8.374	3.941	0	0	16	1.118	0
DDX11L5	DDX11L5	0	0	0	2.585	0	0	0	0	0	0	0	0	4.595	0	0	0	0	0
DDX11L9	DDX11L9	0	4.095	0	0	0	0	0	0	0	0	3	0	7.698	2.587	0	0	0	2
DDX12P	DDX12P	18.639	5.917	7.833	6.458	10.493	21.646	11.549	0	4.572	0	8.417	8.41	9.151	8.425	11.066	9.208	1.345	6.639
